ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782674510,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674511,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674512,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674513,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674514,0,4096,4096,0,0,0,0,0,0,16384,455036,2073600,237,65034,short,-100,100,-100,-100,100,-100,-100,-100,100
1782674515,0,4096,4096,0,0,0,0,0,0,24576,455018,2073600,237,64856,short,-100,100,-100,-100,100,-100,-100,-100,100
1782674524,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674525,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674526,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674527,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674528,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674529,0,4096,4096,0,0,0,0,0,0,24576,590783,2073600,307,56401,short,-100,100,-100,-100,100,-100,-100,-100,90
1782674538,10,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674539,10,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674540,10,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674541,10,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674542,10,4096,4096,0,0,0,0,0,0,16384,465027,2073600,242,1668,short,-100,100,-100,-100,100,-100,-100,-100,100
1782674543,10,4096,4096,0,0,0,0,0,0,24576,465199,2073600,242,830,short,-100,100,-100,-100,100,-100,-100,-100,100
1782674552,0,4096,4096,0,0,0,0,-10,-10,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674553,0,4096,4096,0,0,0,0,-10,-10,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674554,0,4096,4096,0,0,0,0,-10,-10,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674555,0,4096,4096,0,0,0,0,-10,-10,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674556,0,4096,4096,0,0,0,0,-10,-10,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674557,0,4096,4096,0,0,0,0,-10,-10,24576,454971,2073600,237,64507,short,-100,100,-100,-100,100,-100,-100,-100,100
1782674594,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674595,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674596,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674597,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674598,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,90
1782674599,0,4096,4096,0,0,0,0,0,0,24576,590856,2073600,307,53395,short,-100,100,-100,-100,100,-100,-100,-100,90
1782674608,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,95
1782674609,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,95
1782674610,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,95
1782674611,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,95
1782674612,0,4096,4096,0,0,0,0,0,0,16384,514473,2073600,268,5104,short,-100,100,-100,-100,100,-100,-100,-100,95
1782674613,0,4096,4096,0,0,0,0,0,0,24576,514371,2073600,268,4193,short,-100,100,-100,-100,100,-100,-100,-100,95
1782674622,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674623,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674624,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674625,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782674626,0,4096,4096,0,0,0,0,0,0,16384,454927,2073600,237,1106,short,-100,100,-100,-100,100,-100,-100,-100,100
1782674627,0,4096,4096,0,0,0,0,0,0,24576,454982,2073600,237,61362,short,-100,100,-100,-100,100,-100,-100,-100,100
1782674636,0,3900,3900,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,105
1782674637,0,3900,3900,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,105
1782674638,0,3900,3900,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,105
1782674639,0,3900,3900,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,105
1782674640,0,3900,3900,0,0,0,0,0,0,16384,472323,2073600,246,47900,short,-100,100,-100,-100,100,-100,-100,-100,105
1782674641,0,3900,3900,0,0,0,0,0,0,24576,472223,2073600,246,46913,short,-100,100,-100,-100,100,-100,-100,-100,105
1782674650,0,3723,3723,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,110
1782674651,0,3723,3723,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,110
1782674652,0,3723,3723,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,110
1782674653,0,3723,3723,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,110
1782674654,0,3723,3723,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,110
1782674655,0,3723,3723,0,0,0,0,0,0,24576,2073600,2073600,1080,0,FULL,-100,100,-100,-100,100,-100,-100,-100,110
1782674664,0,3413,3413,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,120
1782674665,0,3413,3413,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,120
1782674666,0,3413,3413,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,120
1782674667,0,3413,3413,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,120
1782674668,0,3413,3413,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,120
