ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782688215,0,4096,4096,0,0,0,0,0,0,4096,231935,2073600,121,10568,short,0,0,0,0,0,0,0,0,100
1782688216,0,4096,4096,0,0,0,0,0,0,6144,232119,2073600,121,17064,short,0,0,0,0,0,0,0,0,100
1782688217,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11279,FULL,0,0,0,0,0,0,0,0,100
1782688218,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11278,FULL,0,0,0,0,0,0,0,0,100
1782688219,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11277,FULL,0,0,0,0,0,0,0,0,100
1782688220,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11278,FULL,0,0,0,0,0,0,0,0,100
1782688229,15,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,0,0,0,0,0,0,0,0,100
1782688230,15,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,0,0,0,0,0,0,0,0,100
1782688230,15,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,0,0,0,0,0,0,0,0,100
1782688231,15,4096,4096,0,0,0,0,0,0,12288,329510,2073600,172,7295,short,0,0,0,0,0,0,0,0,100
1782688233,15,4096,4096,0,0,0,0,0,0,16384,329526,2073600,172,12006,short,0,0,0,0,0,0,0,0,100
1782688234,15,4096,4096,0,0,0,0,0,0,24576,329589,2073600,172,9462,short,0,0,0,0,0,0,0,0,100
1782688242,345,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,0,0,0,0,0,0,0,0,100
1782688243,345,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,0,0,0,0,0,0,0,0,100
