ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y
1782667789,0,3757,3757,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,0,100,0,100,0
1782667798,0,3757,3757,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,0,100,0,100,0
1782667803,0,3757,3757,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,0,100,0,100,0
1782667808,0,3757,3757,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,0,100,0,100,0
1782668067,0,3757,3757,0,0,0,0,0,0,4096,264801,2073600,139,56165,short,-20,0,0,0,0,0,0,0
1782668068,0,3757,3757,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-20,0,0,0,0,0,0,0
1782668077,0,3757,3757,0,0,0,0,0,0,4096,264881,2073600,138,57838,short,-45,0,0,0,0,0,0,0
1782668078,0,3757,3757,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-45,0,0,0,0,0,0,0
1782668087,0,3757,3757,0,0,0,0,0,0,4096,265087,2073600,138,59090,short,-70,0,0,0,0,0,0,0
1782668088,0,3757,3757,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-70,0,0,0,0,0,0,0
1782668310,0,3757,3757,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-50,0,0,0,0,0,0,0
1782668536,0,3723,3723,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,-100,-100,-100,-100
1782668548,0,3723,3723,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,-100,-100,-100,-100
1782668559,0,3723,3723,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,-100,-100,-100,-100
1782668571,0,3723,3723,0,0,0,0,0,0,4096,2073600,2073600,1080,11276,FULL,100,100,-100,-100,-100,-100,-100,-100
1782669867,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,-100,-100,-100,-100
1782669868,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,-100,-100,-100,-100
1782669869,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,-100,-100,-100,-100
1782669870,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,-100,-100,-100,-100
1782669872,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,-100,-100,-100,-100
1782669873,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,-100,-100,-100,-100
1782669882,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,-100,-100,-100,-100
1782669883,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,-100,-100,-100,-100
1782669884,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,-100,-100,-100,-100
1782669885,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,-100,-100,-100,-100
1782669886,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,-100,-100,-100,-100
1782669887,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,-100,-100,-100,-100
1782669933,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,-100,-100,-100,-100
1782669934,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,-100,-100,-100,-100
1782669935,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,-100,-100,-100,-100
1782669936,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,-100,-100,-100,-100
1782669937,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,-100,-100,-100,-100
1782669939,0,4096,4096,0,0,0,0,0,0,24576,474739,2073600,247,46366,short,-100,100,-100,-100,-100,-100,-100,-100
1782669948,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11275,FULL,100,100,-100,-100,-100,-100,-100,-100
1782669948,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11279,FULL,100,100,-100,-100,-100,-100,-100,-100
1782669949,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11274,FULL,100,100,-100,-100,-100,-100,-100,-100
1782669950,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11297,FULL,100,100,-100,-100,-100,-100,-100,-100
1782669952,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11275,FULL,100,100,-100,-100,-100,-100,-100,-100
1782669953,0,4096,4096,0,0,0,0,0,0,24576,457374,2073600,238,56407,short,100,100,-100,-100,-100,-100,-100,-100
1782669962,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,-100,-100,-100,-100
1782669963,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,-100,-100,-100,-100
1782669964,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,-100,-100,-100,-100
1782669965,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,-100,-100,-100,-100
1782669966,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,-100,-100,-100,-100
1782669967,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,-100,-100,-100,-100
1782669976,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,0,FULL,100,-100,100,-100,-100,-100,-100,-100
1782669977,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,100,-100,100,-100,-100,-100,-100,-100
1782669978,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,100,-100,100,-100,-100,-100,-100,-100
1782669979,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,100,-100,100,-100,-100,-100,-100,-100
1782669980,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,100,-100,100,-100,-100,-100,-100,-100
1782669981,0,4096,4096,0,0,0,0,0,0,24576,933001,2073600,486,18895,short,100,-100,100,-100,-100,-100,-100,-100
1782669990,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,100,-100,-100,-100,-100,-100
1782669991,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,100,-100,-100,-100,-100,-100
1782669992,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,100,-100,-100,-100,-100,-100
1782669993,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,100,-100,-100,-100,-100,-100
1782669994,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,100,-100,-100,-100,-100,-100
1782669996,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,100,100,-100,-100,-100,-100,-100
1782670004,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11313,FULL,100,100,100,-100,-100,-100,-100,-100
1782670005,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11279,FULL,100,100,100,-100,-100,-100,-100,-100
1782670006,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11292,FULL,100,100,100,-100,-100,-100,-100,-100
1782670007,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11277,FULL,100,100,100,-100,-100,-100,-100,-100
1782670008,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11277,FULL,100,100,100,-100,-100,-100,-100,-100
1782670010,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11279,FULL,100,100,100,-100,-100,-100,-100,-100
1782670019,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,-100,-100,-100,-100
1782670019,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,-100,-100,-100,-100
1782670020,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,-100,-100,-100,-100
1782670021,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,-100,-100,-100,-100
1782670023,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,-100,-100,-100,-100
1782670024,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,-100,-100,-100,-100
1782670033,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,100,-100,-100,100,-100,-100,-100,-100
1782670034,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,100,-100,-100,100,-100,-100,-100,-100
1782670035,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,100,-100,-100,100,-100,-100,-100,-100
1782670036,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,100,-100,-100,100,-100,-100,-100,-100
1782670037,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,100,-100,-100,100,-100,-100,-100,-100
1782670038,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,100,-100,-100,100,-100,-100,-100,-100
1782670047,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670048,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670049,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670050,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670051,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670052,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670061,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11277,FULL,100,100,-100,100,-100,-100,-100,-100
1782670062,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11279,FULL,100,100,-100,100,-100,-100,-100,-100
