ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782683428,0,4096,4096,0,0,0,0,0,0,4096,393882,921600,309,43599,short,-200,-200,-200,-200,-200,-200,-200,-200,100
1782683429,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,10049,FULL,-200,-200,-200,-200,-200,-200,-200,-200,100
1782683430,0,4096,4096,0,0,0,0,0,0,8192,921600,921600,720,10049,FULL,-200,-200,-200,-200,-200,-200,-200,-200,100
1782683431,0,4096,4096,0,0,0,0,0,0,12288,393940,921600,309,42328,short,-200,-200,-200,-200,-200,-200,-200,-200,100
1782683433,0,4096,4096,0,0,0,0,0,0,16384,393896,921600,308,39366,short,-200,-200,-200,-200,-200,-200,-200,-200,100
1782683434,0,4096,4096,0,0,0,0,0,0,24576,396035,921600,308,40785,short,-200,-200,-200,-200,-200,-200,-200,-200,100
1782683443,0,4096,4096,0,0,0,0,0,0,4096,449410,921600,352,48231,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782683444,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,10049,FULL,200,-200,-200,-200,-200,-200,-200,-200,100
1782683445,0,4096,4096,0,0,0,0,0,0,8192,439963,921600,352,52617,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782683446,0,4096,4096,0,0,0,0,0,0,12288,449410,921600,352,51617,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782683447,0,4096,4096,0,0,0,0,0,0,16384,449437,921600,352,50816,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782683448,0,4096,4096,0,0,0,0,0,0,24576,450769,921600,351,46667,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782683457,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10049,FULL,-200,200,-200,-200,-200,-200,-200,-200,100
1782683458,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,496,FULL,-200,200,-200,-200,-200,-200,-200,-200,100
1782683459,0,4096,4096,0,0,0,0,0,0,8192,921600,921600,720,10049,FULL,-200,200,-200,-200,-200,-200,-200,-200,100
1782683460,0,4096,4096,0,0,0,0,0,0,12288,236537,921600,185,26643,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782683461,0,4096,4096,0,0,0,0,0,0,16384,236197,921600,185,26493,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782683462,0,4096,4096,0,0,0,0,0,0,24576,236171,921600,185,29373,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782683471,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10198,FULL,200,200,-200,-200,-200,-200,-200,-200,100
1782683472,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,0,FULL,200,200,-200,-200,-200,-200,-200,-200,100
1782683473,0,4096,4096,0,0,0,0,0,0,8192,273544,921600,213,55888,short,200,200,-200,-200,-200,-200,-200,-200,100
1782683474,0,4096,4096,0,0,0,0,0,0,12288,273167,921600,214,56751,short,200,200,-200,-200,-200,-200,-200,-200,100
1782683475,0,4096,4096,0,0,0,0,0,0,16384,273475,921600,214,54339,short,200,200,-200,-200,-200,-200,-200,-200,100
1782683477,0,4096,4096,0,0,0,0,0,0,24576,273136,921600,214,54102,short,200,200,-200,-200,-200,-200,-200,-200,100
1782683485,0,4096,4096,0,0,0,0,0,0,4096,450493,921600,352,46577,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782683486,0,4096,4096,0,0,0,0,0,0,6144,921600,921600,720,10049,FULL,-200,-200,200,-200,-200,-200,-200,-200,100
1782683487,0,4096,4096,0,0,0,0,0,0,8192,440872,921600,351,47533,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782683488,0,4096,4096,0,0,0,0,0,0,12288,449675,921600,351,47956,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782683489,0,4096,4096,0,0,0,0,0,0,16384,450165,921600,352,49134,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782683491,0,4096,4096,0,0,0,0,0,0,24576,457692,921600,357,36560,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782683500,0,4096,4096,0,0,0,0,0,0,4096,478609,921600,374,18506,short,200,-200,200,-200,-200,-200,-200,-200,100
1782683500,0,4096,4096,0,0,0,0,0,0,6144,478687,921600,374,20813,short,200,-200,200,-200,-200,-200,-200,-200,100
1782683501,0,4096,4096,0,0,0,0,0,0,8192,478641,921600,373,18831,short,200,-200,200,-200,-200,-200,-200,-200,100
1782683502,0,4096,4096,0,0,0,0,0,0,12288,478609,921600,373,18954,short,200,-200,200,-200,-200,-200,-200,-200,100
1782683504,0,4096,4096,0,0,0,0,0,0,16384,478641,921600,373,5209,short,200,-200,200,-200,-200,-200,-200,-200,100
1782683505,0,4096,4096,0,0,0,0,0,0,24576,480645,921600,374,16516,short,200,-200,200,-200,-200,-200,-200,-200,100
1782683514,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10049,FULL,-200,200,200,-200,-200,-200,-200,-200,100
1782683515,0,4096,4096,0,0,0,0,0,0,6144,319221,921600,249,64391,short,-200,200,200,-200,-200,-200,-200,-200,100
1782683516,0,4096,4096,0,0,0,0,0,0,8192,315036,921600,249,60773,short,-200,200,200,-200,-200,-200,-200,-200,100
1782683517,0,4096,4096,0,0,0,0,0,0,12288,284004,921600,250,64276,short,-200,200,200,-200,-200,-200,-200,-200,100
1782683518,0,4096,4096,0,0,0,0,0,0,16384,319161,921600,250,62592,short,-200,200,200,-200,-200,-200,-200,-200,100
1782683519,0,4096,4096,0,0,0,0,0,0,24576,319714,921600,249,30265,short,-200,200,200,-200,-200,-200,-200,-200,100
1782683528,0,4096,4096,0,0,0,0,0,0,4096,921600,921600,720,10195,FULL,200,200,200,-200,-200,-200,-200,-200,100
1782683529,0,4096,4096,0,0,0,0,0,0,6144,313210,921600,244,2663,short,200,200,200,-200,-200,-200,-200,-200,100
1782683530,0,4096,4096,0,0,0,0,0,0,8192,303680,921600,237,16561,short,200,200,200,-200,-200,-200,-200,-200,100
1782683531,0,4096,4096,0,0,0,0,0,0,12288,303586,921600,238,12955,short,200,200,200,-200,-200,-200,-200,-200,100
1782683532,0,4096,4096,0,0,0,0,0,0,16384,303836,921600,237,14653,short,200,200,200,-200,-200,-200,-200,-200,100
1782683533,0,4096,4096,0,0,0,0,0,0,24576,538719,921600,420,24975,short,200,200,200,-200,-200,-200,-200,-200,100
