ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782675976,0,4096,4096,0,0,0,0,0,0,4096,818565,2073600,427,1775,short,-200,-200,-200,-200,-200,-200,-200,-200,100
1782675977,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-200,-200,-200,-200,-200,-200,-200,-200,100
1782675978,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-200,-200,-200,-200,-200,-200,-200,-200,100
1782675979,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-200,-200,-200,-200,-200,-200,-200,-200,100
1782675980,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-200,-200,-200,-200,-200,-200,-200,-200,100
1782675982,0,4096,4096,0,0,0,0,0,0,24576,818483,2073600,426,3951,short,-200,-200,-200,-200,-200,-200,-200,-200,100
1782675990,0,4096,4096,0,0,0,0,0,0,4096,918478,2073600,478,31334,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782675991,0,4096,4096,0,0,0,0,0,0,6144,918563,2073600,478,29578,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782675992,0,4096,4096,0,0,0,0,0,0,8192,918605,2073600,478,25984,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782675993,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,200,-200,-200,-200,-200,-200,-200,-200,100
1782675995,0,4096,4096,0,0,0,0,0,0,16384,1650850,2073600,859,62451,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782675996,0,4096,4096,0,0,0,0,0,0,24576,918520,2073600,479,29731,short,200,-200,-200,-200,-200,-200,-200,-200,100
1782676027,0,4096,4096,0,0,0,0,0,0,4096,585214,2073600,305,3118,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782676028,0,4096,4096,0,0,0,0,0,0,6144,585316,2073600,305,60682,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782676029,0,4096,4096,0,0,0,0,0,0,8192,585291,2073600,305,63243,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782676030,0,4096,4096,0,0,0,0,0,0,12288,585227,2073600,305,1787,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782676031,0,4096,4096,0,0,0,0,0,0,16384,585227,2073600,305,2231,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782676032,0,4096,4096,0,0,0,0,0,0,24576,950282,2073600,494,20139,short,-200,200,-200,-200,-200,-200,-200,-200,100
1782676041,0,4096,4096,0,0,0,0,0,0,4096,654843,2073600,341,53799,short,200,200,-200,-200,-200,-200,-200,-200,100
1782676042,0,4096,4096,0,0,0,0,0,0,6144,654947,2073600,341,54916,short,200,200,-200,-200,-200,-200,-200,-200,100
1782676043,0,4096,4096,0,0,0,0,0,0,8192,655013,2073600,341,55430,short,200,200,-200,-200,-200,-200,-200,-200,100
1782676044,0,4096,4096,0,0,0,0,0,0,12288,654843,2073600,341,55203,short,200,200,-200,-200,-200,-200,-200,-200,100
1782676045,0,4096,4096,0,0,0,0,0,0,16384,655027,2073600,341,55259,short,200,200,-200,-200,-200,-200,-200,-200,100
1782676047,0,4096,4096,0,0,0,0,0,0,24576,654809,2073600,341,58267,short,200,200,-200,-200,-200,-200,-200,-200,100
1782676055,0,4096,4096,0,0,0,0,0,0,4096,1093425,2073600,569,46967,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782676056,0,4096,4096,0,0,0,0,0,0,6144,1075316,2073600,569,48723,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782676057,0,4096,4096,0,0,0,0,0,0,8192,1093405,2073600,569,46630,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782676058,0,4096,4096,0,0,0,0,0,0,12288,1093563,2073600,569,46804,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782676059,0,4096,4096,0,0,0,0,0,0,16384,1093484,2073600,570,45108,short,-200,-200,200,-200,-200,-200,-200,-200,100
1782676061,0,4096,4096,0,0,0,0,0,0,24576,1093445,2073600,569,45319,short,-200,-200,200,-200,-200,-200,-200,-200,100
