ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782687160,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11288,FULL,0,0,-200,-200,0,0,-200,-200,100
1782687160,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11280,FULL,0,0,-200,-200,0,0,-200,-200,100
1782687161,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11293,FULL,0,0,-200,-200,0,0,-200,-200,100
1782687162,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11278,FULL,0,0,-200,-200,0,0,-200,-200,100
1782687164,0,4096,4096,0,0,0,0,0,0,16384,427452,2073600,223,20846,short,0,0,-200,-200,0,0,-200,-200,100
1782687165,0,4096,4096,0,0,0,0,0,0,24576,427341,2073600,223,23689,short,0,0,-200,-200,0,0,-200,-200,100
1782687173,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11273,FULL,0,0,200,-200,0,0,-200,-200,100
1782687174,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11277,FULL,0,0,200,-200,0,0,-200,-200,100
1782687175,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11281,FULL,0,0,200,-200,0,0,-200,-200,100
1782687176,0,4096,4096,0,0,0,0,0,0,12288,461903,2073600,240,55493,short,0,0,200,-200,0,0,-200,-200,100
1782687177,0,4096,4096,0,0,0,0,0,0,16384,461585,2073600,240,55797,short,0,0,200,-200,0,0,-200,-200,100
1782687178,0,4096,4096,0,0,0,0,0,0,24576,461594,2073600,240,56471,short,0,0,200,-200,0,0,-200,-200,100
1782687186,0,4096,4096,0,0,0,0,0,0,4096,216548,2073600,114,48998,short,0,0,-200,200,0,0,-200,-200,100
1782687187,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11274,FULL,0,0,-200,200,0,0,-200,-200,100
1782687188,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11275,FULL,0,0,-200,200,0,0,-200,-200,100
1782687189,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,0,FULL,0,0,-200,200,0,0,-200,-200,100
1782687190,0,4096,4096,0,0,0,0,0,0,16384,216484,2073600,113,48746,short,0,0,-200,200,0,0,-200,-200,100
1782687191,0,4096,4096,0,0,0,0,0,0,24576,216484,2073600,113,48955,short,0,0,-200,200,0,0,-200,-200,100
1782687199,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11274,FULL,0,0,200,200,0,0,-200,-200,100
1782687200,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11307,FULL,0,0,200,200,0,0,-200,-200,100
1782687201,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11276,FULL,0,0,200,200,0,0,-200,-200,100
1782687202,0,4096,4096,0,0,0,0,0,0,12288,235062,2073600,122,30658,short,0,0,200,200,0,0,-200,-200,100
1782687203,0,4096,4096,0,0,0,0,0,0,16384,228097,2073600,123,27259,short,0,0,200,200,0,0,-200,-200,100
1782687205,0,4096,4096,0,0,0,0,0,0,24576,235126,2073600,122,25811,short,0,0,200,200,0,0,-200,-200,100
1782687212,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11286,FULL,0,0,-200,-200,0,0,200,-200,100
1782687213,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11287,FULL,0,0,-200,-200,0,0,200,-200,100
1782687214,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11284,FULL,0,0,-200,-200,0,0,200,-200,100
1782687215,0,4096,4096,0,0,0,0,0,0,12288,443318,2073600,231,16184,short,0,0,-200,-200,0,0,200,-200,100
1782687216,0,4096,4096,0,0,0,0,0,0,16384,443168,2073600,231,17735,short,0,0,-200,-200,0,0,200,-200,100
1782687218,0,4096,4096,0,0,0,0,0,0,24576,443304,2073600,231,17904,short,0,0,-200,-200,0,0,200,-200,100
1782687226,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11279,FULL,0,0,200,-200,0,0,200,-200,100
1782687226,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11272,FULL,0,0,200,-200,0,0,200,-200,100
1782687227,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11275,FULL,0,0,200,-200,0,0,200,-200,100
1782687228,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11313,FULL,0,0,200,-200,0,0,200,-200,100
1782687230,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11272,FULL,0,0,200,-200,0,0,200,-200,100
1782687231,0,4096,4096,0,0,0,0,0,0,24576,436542,2073600,227,12310,short,0,0,200,-200,0,0,200,-200,100
1782687239,0,4096,4096,0,0,0,0,0,0,4096,213365,2073600,111,54955,short,0,0,-200,200,0,0,200,-200,100
1782687240,0,4096,4096,0,0,0,0,0,0,6144,213342,2073600,111,54067,short,0,0,-200,200,0,0,200,-200,100
1782687241,0,4096,4096,0,0,0,0,0,0,8192,213423,2073600,111,53289,short,0,0,-200,200,0,0,200,-200,100
1782687242,0,4096,4096,0,0,0,0,0,0,12288,213411,2073600,111,55538,short,0,0,-200,200,0,0,200,-200,100
1782687243,0,4096,4096,0,0,0,0,0,0,16384,213403,2073600,111,53745,short,0,0,-200,200,0,0,200,-200,100
1782687244,0,4096,4096,0,0,0,0,0,0,24576,213411,2073600,111,53244,short,0,0,-200,200,0,0,200,-200,100
1782687252,0,4096,4096,0,0,0,0,0,0,4096,236192,2073600,123,27375,short,0,0,200,200,0,0,200,-200,100
1782687253,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11275,FULL,0,0,200,200,0,0,200,-200,100
1782687254,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11272,FULL,0,0,200,200,0,0,200,-200,100
1782687255,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11300,FULL,0,0,200,200,0,0,200,-200,100
1782687256,0,4096,4096,0,0,0,0,0,0,16384,236249,2073600,123,33216,short,0,0,200,200,0,0,200,-200,100
1782687257,0,4096,4096,0,0,0,0,0,0,24576,236237,2073600,123,26587,short,0,0,200,200,0,0,200,-200,100
1782687265,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,97,FULL,0,0,-200,-200,0,0,-200,200,100
1782687266,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11283,FULL,0,0,-200,-200,0,0,-200,200,100
1782687267,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11293,FULL,0,0,-200,-200,0,0,-200,200,100
1782687268,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11278,FULL,0,0,-200,-200,0,0,-200,200,100
1782687269,0,4096,4096,0,0,0,0,0,0,16384,475079,2073600,247,37456,short,0,0,-200,-200,0,0,-200,200,100
1782687271,0,4096,4096,0,0,0,0,0,0,24576,475277,2073600,247,39910,short,0,0,-200,-200,0,0,-200,200,100
1782687278,0,4096,4096,0,0,0,0,0,0,4096,472029,2073600,246,38397,short,0,0,200,-200,0,0,-200,200,100
1782687279,0,4096,4096,0,0,0,0,0,0,6144,472199,2073600,246,22762,short,0,0,200,-200,0,0,-200,200,100
1782687280,0,4096,4096,0,0,0,0,0,0,8192,472226,2073600,246,39160,short,0,0,200,-200,0,0,-200,200,100
1782687281,0,4096,4096,0,0,0,0,0,0,12288,472130,2073600,246,43066,short,0,0,200,-200,0,0,-200,200,100
1782687282,0,4096,4096,0,0,0,0,0,0,16384,472213,2073600,246,41399,short,0,0,200,-200,0,0,-200,200,100
1782687284,0,4096,4096,0,0,0,0,0,0,24576,472116,2073600,247,41717,short,0,0,200,-200,0,0,-200,200,100
1782687292,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11274,FULL,0,0,-200,200,0,0,-200,200,100
1782687292,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11274,FULL,0,0,-200,200,0,0,-200,200,100
1782687293,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11275,FULL,0,0,-200,200,0,0,-200,200,100
1782687294,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,0,FULL,0,0,-200,200,0,0,-200,200,100
1782687296,0,4096,4096,0,0,0,0,0,0,16384,215593,2073600,112,48678,short,0,0,-200,200,0,0,-200,200,100
1782687297,0,4096,4096,0,0,0,0,0,0,24576,215611,2073600,112,52873,short,0,0,-200,200,0,0,-200,200,100
1782687305,0,4096,4096,0,0,0,0,0,0,4096,251608,2073600,131,11878,short,0,0,200,200,0,0,-200,200,100
1782687306,0,4096,4096,0,0,0,0,0,0,6144,251771,2073600,131,9805,short,0,0,200,200,0,0,-200,200,100
1782687307,0,4096,4096,0,0,0,0,0,0,8192,251681,2073600,131,13049,short,0,0,200,200,0,0,-200,200,100
1782687308,0,4096,4096,0,0,0,0,0,0,12288,251717,2073600,131,10419,short,0,0,200,200,0,0,-200,200,100
1782687309,0,4096,4096,0,0,0,0,0,0,16384,251807,2073600,131,12334,short,0,0,200,200,0,0,-200,200,100
1782687310,0,4096,4096,0,0,0,0,0,0,24576,221169,2073600,131,8839,short,0,0,200,200,0,0,-200,200,100
1782687318,0,4096,4096,0,0,0,0,0,0,4096,458064,2073600,239,59753,short,0,0,-200,-200,0,0,200,200,100
1782687319,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11278,FULL,0,0,-200,-200,0,0,200,200,100
1782687320,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11275,FULL,0,0,-200,-200,0,0,200,200,100
1782687321,0,4096,4096,0,0,0,0,0,0,12288,429166,2073600,238,59975,short,0,0,-200,-200,0,0,200,200,100
1782687322,0,4096,4096,0,0,0,0,0,0,16384,458033,2073600,238,62743,short,0,0,-200,-200,0,0,200,200,100
1782687323,0,4096,4096,0,0,0,0,0,0,24576,458075,2073600,239,60829,short,0,0,-200,-200,0,0,200,200,100
1782687331,0,4096,4096,0,0,0,0,0,0,4096,476379,2073600,248,33685,short,0,0,200,-200,0,0,200,200,100
1782687332,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11277,FULL,0,0,200,-200,0,0,200,200,100
1782687333,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11283,FULL,0,0,200,-200,0,0,200,200,100
1782687334,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11289,FULL,0,0,200,-200,0,0,200,200,100
