ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y
1782667120,0,4096,4096,0,0,0,0,-10,-10,4096,2067298,2073600,1060,37681,short,-40,0,0,0,0,0,0,0
1782667121,0,4096,4096,0,0,0,0,-10,-10,6144,2073600,2073600,1080,3,FULL,-40,0,0,0,0,0,0,0
1782667128,0,4096,4096,0,0,0,0,-10,-10,4096,2038201,2073600,1060,37283,short,-40,0,0,0,0,0,0,0
1782667129,0,4096,4096,0,0,0,0,-10,-10,6144,2073600,2073600,1080,100,FULL,-40,0,0,0,0,0,0,0
1782667140,0,4096,4096,0,0,0,0,-10,-10,4096,2067456,2073600,1061,37676,short,-40,0,0,0,0,0,0,0
1782667141,0,4096,4096,0,0,0,0,-10,-10,6144,2073629,2073600,1079,1082,FULL,-40,0,0,0,0,0,0,0
1782667152,0,4096,4096,0,0,0,0,-10,-10,4096,2038225,2073600,1061,37615,short,-40,0,0,0,0,0,0,0
1782667153,0,4096,4096,0,0,0,0,-10,-10,6144,2073600,2073600,1080,187,FULL,-40,0,0,0,0,0,0,0
1782667261,0,3828,3828,0,0,0,0,0,0,4096,2073627,2073600,1080,645,FULL,-100,-91,-100,0,100,0,100,0
1782667323,0,3828,3828,0,0,0,0,0,0,4096,2079272,2073600,1080,837,FULL,-100,100,-100,0,100,0,100,0
