ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y
1782665621,0,4096,4096,0,0,0,0,-10,-10,4096,2039380,2073600,1062,36462,short,-2,0,0,0,0,0,0,0
1782665622,0,4096,4096,0,0,0,0,-10,-10,6144,2073600,2073600,1080,481,FULL,-2,0,0,0,0,0,0,0
1782665914,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-24,0,0,0,0,0,0,0
1782665919,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-38,0,0,0,0,0,0,0
1782665923,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-54,0,0,0,0,0,0,0
1782665930,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-64,0,0,0,0,0,0,0
1782665935,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-83,0,0,0,0,0,0,0
1782665941,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,0,0,0,0,0,0
1782665944,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-14,0,0,0,0,0
1782665946,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-31,0,0,0,0,0
1782665953,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-67,0,0,0,0,0
1782665956,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-87,0,0,0,0,0
1782665960,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-87,0,-26,0,0,0
1782665965,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-87,0,-53,0,0,0
1782665974,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-87,0,-79,0,0,0
1782665976,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-87,0,-93,0,0,0
1782665983,355,3442,3442,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-94,0,-87,0,-93,0,-24,0
