ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782692937,0,4096,4096,0,0,0,0,0,0,4096,378338,2073600,198,42450,short,-200,200,-200,-200,200,-200,-200,-200,100
1782692938,0,4096,4096,0,0,0,0,0,0,6144,377723,2073600,197,42248,short,-200,200,-200,-200,200,-200,-200,-200,100
1782692939,0,4096,4096,0,0,0,0,0,0,8192,377740,2073600,197,40673,short,-200,200,-200,-200,200,-200,-200,-200,100
1782692940,0,4096,4096,0,0,0,0,0,0,12288,377740,2073600,197,41901,short,-100,0,-100,0,0,0,0,0,100
1782692941,0,4096,4096,0,0,0,0,0,0,16384,377740,2073600,198,40363,short,-100,0,-100,0,0,0,0,0,100
1782692942,0,4096,4096,0,0,0,0,0,0,24576,737045,2073600,383,6251,short,-100,0,-100,0,0,0,0,0,100
1782692958,30,4096,4096,0,0,0,0,0,0,4096,411486,2073600,227,30729,short,-100,100,-100,-100,100,-100,-100,-100,100
1782692958,30,4096,4096,0,0,0,0,0,0,6144,436212,2073600,227,31575,short,-100,100,-100,-100,100,-100,-100,-100,100
1782692959,30,4096,4096,0,0,0,0,0,0,8192,436124,2073600,227,29582,short,-100,100,-100,-100,100,-100,-100,-100,100
1782692960,30,4096,4096,0,0,0,0,0,0,12288,436023,2073600,227,26926,short,-100,0,-100,0,0,0,0,0,100
1782692962,30,4096,4096,0,0,0,0,0,0,16384,435705,2073600,227,29077,short,-100,0,-100,0,0,0,0,0,100
1782692963,30,4096,4096,0,0,0,0,0,0,24576,436023,2073600,227,33339,short,-100,0,-100,0,0,0,0,0,100
1782759032,0,4096,4096,0,0,0,0,7,7,4096,226778,2073600,122,21195,short,0,0,0,0,0,0,0,0,100
1782759033,0,4096,4096,0,0,0,0,7,7,6144,234223,2073600,123,23324,short,0,0,0,0,0,0,0,0,100
1782759034,0,4096,4096,0,0,0,0,7,7,8192,234207,2073600,122,23972,short,0,0,0,0,0,0,0,0,100
1782759035,0,4096,4096,0,0,0,0,7,7,12288,234223,2073600,122,23821,short,0,0,0,0,0,0,0,0,100
1782759036,0,4096,4096,0,0,0,0,7,7,16384,234127,2073600,122,24326,short,0,0,0,0,0,0,0,0,100
1782759037,0,4096,4096,0,0,0,0,7,7,24576,234143,2073600,122,24412,short,0,0,0,0,0,0,0,0,100
