ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,scale_pct
1782691065,0,4096,4096,0,0,0,0,0,0,4096,232095,2073600,122,24527,short,0,0,0,0,0,0,0,0,100
1782691066,0,4096,4096,0,0,0,0,0,0,6144,232191,2073600,121,24949,short,0,0,0,0,0,0,0,0,100
1782691067,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11276,FULL,0,0,0,0,0,0,0,0,100
1782691068,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11280,FULL,0,0,0,0,0,0,0,0,100
1782691069,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11280,FULL,0,0,0,0,0,0,0,0,100
1782691071,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11274,FULL,0,0,0,0,0,0,0,0,100
1782691079,0,4096,4096,0,0,0,0,100,100,4096,282799,2073600,147,46640,short,0,0,0,0,0,0,0,0,100
1782691080,0,4096,4096,0,0,0,0,100,100,6144,282860,2073600,147,42063,short,0,0,0,0,0,0,0,0,100
1782691081,0,4096,4096,0,0,0,0,100,100,8192,282832,2073600,147,36457,short,0,0,0,0,0,0,0,0,100
1782691082,0,4096,4096,0,0,0,0,100,100,12288,282860,2073600,147,43290,short,0,0,0,0,0,0,0,0,100
1782691083,0,4096,4096,0,0,0,0,100,100,16384,282845,2073600,147,41303,short,0,0,0,0,0,0,0,0,100
1782691085,0,4096,4096,0,0,0,0,100,100,24576,282829,2073600,147,40308,short,0,0,0,0,0,0,0,0,100
1782691093,0,4096,4096,0,0,0,0,200,200,4096,328517,2073600,172,62210,short,0,0,0,0,0,0,0,0,100
1782691094,0,4096,4096,0,0,0,0,200,200,6144,328504,2073600,171,61784,short,0,0,0,0,0,0,0,0,100
1782691095,0,4096,4096,0,0,0,0,200,200,8192,328446,2073600,171,61338,short,0,0,0,0,0,0,0,0,100
1782691096,0,4096,4096,0,0,0,0,200,200,12288,328466,2073600,171,59149,short,0,0,0,0,0,0,0,0,100
1782691097,0,4096,4096,0,0,0,0,200,200,16384,328522,2073600,171,58748,short,0,0,0,0,0,0,0,0,100
1782691098,0,4096,4096,0,0,0,0,200,200,24576,328199,2073600,171,61100,short,0,0,0,0,0,0,0,0,100
1782691107,0,4096,4096,0,0,0,0,-100,-100,4096,233521,2073600,122,27690,short,0,0,0,0,0,0,0,0,100
1782691108,0,4096,4096,0,0,0,0,-100,-100,6144,2073600,2073600,1080,205,FULL,0,0,0,0,0,0,0,0,100
1782691109,0,4096,4096,0,0,0,0,-100,-100,8192,2073600,2073600,1080,11297,FULL,0,0,0,0,0,0,0,0,100
1782691110,0,4096,4096,0,0,0,0,-100,-100,12288,2073600,2073600,1080,11276,FULL,0,0,0,0,0,0,0,0,100
1782691111,0,4096,4096,0,0,0,0,-100,-100,16384,233503,2073600,122,26524,short,0,0,0,0,0,0,0,0,100
1782691112,0,4096,4096,0,0,0,0,-100,-100,24576,233451,2073600,122,30628,short,0,0,0,0,0,0,0,0,100
1782691121,0,4096,4096,0,0,0,0,-200,-200,4096,229985,2073600,120,30657,short,0,0,0,0,0,0,0,0,100
1782691122,0,4096,4096,0,0,0,0,-200,-200,6144,2073600,2073600,1080,11273,FULL,0,0,0,0,0,0,0,0,100
1782691122,0,4096,4096,0,0,0,0,-200,-200,8192,2073600,2073600,1080,11273,FULL,0,0,0,0,0,0,0,0,100
1782691124,0,4096,4096,0,0,0,0,-200,-200,12288,2073600,2073600,1080,11289,FULL,0,0,0,0,0,0,0,0,100
1782691125,0,4096,4096,0,0,0,0,-200,-200,16384,2073600,2073600,1080,0,FULL,0,0,0,0,0,0,0,0,100
1782691126,0,4096,4096,0,0,0,0,-200,-200,24576,229882,2073600,120,34767,short,0,0,0,0,0,0,0,0,100
1782691134,0,4096,4096,0,0,0,0,0,0,4096,230709,2073600,120,24212,short,-100,0,-100,0,0,0,0,0,100
1782691135,0,4096,4096,0,0,0,0,0,0,6144,230680,2073600,120,25123,short,-100,0,-100,0,0,0,0,0,100
1782691136,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,0,-100,0,0,0,0,0,100
1782691137,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,0,-100,0,0,0,0,0,100
1782691139,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,0,-100,0,0,0,0,0,100
1782691140,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,0,-100,0,0,0,0,0,100
1782691148,0,4096,4096,0,0,0,0,100,100,4096,277324,2073600,144,50125,short,-100,0,-100,0,0,0,0,0,100
1782691149,0,4096,4096,0,0,0,0,100,100,6144,2073600,2073600,1080,50,FULL,-100,0,-100,0,0,0,0,0,100
1782691150,0,4096,4096,0,0,0,0,100,100,8192,277405,2073600,144,46300,short,-100,0,-100,0,0,0,0,0,100
1782691151,0,4096,4096,0,0,0,0,100,100,12288,277391,2073600,144,44207,short,-100,0,-100,0,0,0,0,0,100
1782691152,0,4096,4096,0,0,0,0,100,100,16384,277338,2073600,144,47892,short,-100,0,-100,0,0,0,0,0,100
1782691154,0,4096,4096,0,0,0,0,100,100,24576,277391,2073600,144,44696,short,-100,0,-100,0,0,0,0,0,100
1782691162,0,4096,4096,0,0,0,0,200,200,4096,318281,2073600,166,7202,short,-100,0,-100,0,0,0,0,0,100
1782691163,0,4096,4096,0,0,0,0,200,200,6144,318509,2073600,166,7148,short,-100,0,-100,0,0,0,0,0,100
1782691164,0,4096,4096,0,0,0,0,200,200,8192,318353,2073600,166,8214,short,-100,0,-100,0,0,0,0,0,100
1782691165,0,4096,4096,0,0,0,0,200,200,12288,318339,2073600,166,5650,short,-100,0,-100,0,0,0,0,0,100
1782691166,0,4096,4096,0,0,0,0,200,200,16384,318296,2073600,166,8078,short,-100,0,-100,0,0,0,0,0,100
1782691167,0,4096,4096,0,0,0,0,200,200,24576,318339,2073600,166,2805,short,-100,0,-100,0,0,0,0,0,100
1782691176,0,4096,4096,0,0,0,0,-100,-100,4096,232831,2073600,122,30528,short,-100,0,-100,0,0,0,0,0,100
1782691177,0,4096,4096,0,0,0,0,-100,-100,6144,2073600,2073600,1080,81,FULL,-100,0,-100,0,0,0,0,0,100
1782691178,0,4096,4096,0,0,0,0,-100,-100,8192,2073600,2073600,1080,11127,FULL,-100,0,-100,0,0,0,0,0,100
1782691179,0,4096,4096,0,0,0,0,-100,-100,12288,2073600,2073600,1080,0,FULL,-100,0,-100,0,0,0,0,0,100
1782691180,0,4096,4096,0,0,0,0,-100,-100,16384,232831,2073600,122,28636,short,-100,0,-100,0,0,0,0,0,100
1782691181,0,4096,4096,0,0,0,0,-100,-100,24576,232758,2073600,121,24829,short,-100,0,-100,0,0,0,0,0,100
1782691190,0,4096,4096,0,0,0,0,-200,-200,4096,230299,2073600,120,35330,short,-100,0,-100,0,0,0,0,0,100
1782691191,0,4096,4096,0,0,0,0,-200,-200,6144,2073600,2073600,1080,11127,FULL,-100,0,-100,0,0,0,0,0,100
1782691192,0,4096,4096,0,0,0,0,-200,-200,8192,2073600,2073600,1080,11127,FULL,-100,0,-100,0,0,0,0,0,100
1782691193,0,4096,4096,0,0,0,0,-200,-200,12288,2073600,2073600,1080,0,FULL,-100,0,-100,0,0,0,0,0,100
1782691194,0,4096,4096,0,0,0,0,-200,-200,16384,230202,2073600,120,32269,short,-100,0,-100,0,0,0,0,0,100
1782691195,0,4096,4096,0,0,0,0,-200,-200,24576,211502,2073600,120,34362,short,-100,0,-100,0,0,0,0,0,100
1782691204,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691204,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691205,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691206,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691208,0,4096,4096,0,0,0,0,0,0,16384,273154,2073600,142,57648,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691209,0,4096,4096,0,0,0,0,0,0,24576,273154,2073600,142,58006,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691217,0,4096,4096,0,0,0,0,100,100,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691218,0,4096,4096,0,0,0,0,100,100,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691219,0,4096,4096,0,0,0,0,100,100,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691220,0,4096,4096,0,0,0,0,100,100,12288,313136,2073600,164,14575,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691221,0,4096,4096,0,0,0,0,100,100,16384,312986,2073600,163,18964,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691223,0,4096,4096,0,0,0,0,100,100,24576,312860,2073600,163,19884,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691231,0,4096,4096,0,0,0,0,200,200,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691232,0,4096,4096,0,0,0,0,200,200,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691233,0,4096,4096,0,0,0,0,200,200,8192,354271,2073600,184,39409,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691234,0,4096,4096,0,0,0,0,200,200,12288,354321,2073600,184,37482,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691235,0,4096,4096,0,0,0,0,200,200,16384,354360,2073600,185,42365,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691237,0,4096,4096,0,0,0,0,200,200,24576,354346,2073600,184,43271,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691245,0,4096,4096,0,0,0,0,-100,-100,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691246,0,4096,4096,0,0,0,0,-100,-100,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691247,0,4096,4096,0,0,0,0,-100,-100,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691248,0,4096,4096,0,0,0,0,-100,-100,12288,284096,2073600,148,46771,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691249,0,4096,4096,0,0,0,0,-100,-100,16384,284307,2073600,148,50325,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691250,0,4096,4096,0,0,0,0,-100,-100,24576,283984,2073600,149,48757,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691259,0,4096,4096,0,0,0,0,-200,-200,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691260,0,4096,4096,0,0,0,0,-200,-200,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691261,0,4096,4096,0,0,0,0,-200,-200,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100,100
1782691262,0,4096,4096,0,0,0,0,-200,-200,12288,291421,2073600,152,30549,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691263,0,4096,4096,0,0,0,0,-200,-200,16384,291201,2073600,152,39068,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691264,0,4096,4096,0,0,0,0,-200,-200,24576,291294,2073600,152,39056,short,-100,100,-100,-100,100,-100,-100,-100,100
1782691776,0,4096,4096,0,0,0,0,25,25,4096,245827,2073600,128,12195,short,0,0,0,0,0,0,0,0,100
