// mode = 1 (601F)
// 208 pixel pairs
// rgb0 rgb1 ycc0 ycc1 out0 out1
000000 000000 008080 008080 8000 8000
000000 ffffff 008080 ff8080 8000 80ff
000000 ff0000 008080 4c54ff 6a00 c04c
000000 0000ff 008080 952b15 5600 4b95
000000 00ff00 008080 1dff6b c000 761d
000000 808080 008080 808080 8000 8080
000000 c86496 008080 9f5e9d 6f00 8f9f
000000 101010 008080 108080 8000 8010
000000 ebebeb 008080 eb8080 8000 80eb
000000 ff0080 008080 972ac9 5500 a597
000000 0080ff 008080 a46b0a 7600 45a4
000000 80ff00 008080 43e9ab b500 9643
ffffff 000000 ff8080 008080 80ff 8000
ffffff ffffff ff8080 ff8080 80ff 80ff
ffffff ff0000 ff8080 4c54ff 6aff c04c
ffffff 0000ff ff8080 952b15 56ff 4b95
ffffff 00ff00 ff8080 1dff6b c0ff 761d
ffffff 808080 ff8080 808080 80ff 8080
ffffff c86496 ff8080 9f5e9d 6fff 8f9f
ffffff 101010 ff8080 108080 80ff 8010
ffffff ebebeb ff8080 eb8080 80ff 80eb
ffffff ff0080 ff8080 972ac9 55ff a597
ffffff 0080ff ff8080 a46b0a 76ff 45a4
ffffff 80ff00 ff8080 43e9ab b5ff 9643
ff0000 000000 4c54ff 008080 6a4c c000
ff0000 ffffff 4c54ff ff8080 6a4c c0ff
ff0000 ff0000 4c54ff 4c54ff 544c ff4c
ff0000 0000ff 4c54ff 952b15 404c 8a95
ff0000 00ff00 4c54ff 1dff6b aa4c b51d
ff0000 808080 4c54ff 808080 6a4c c080
ff0000 c86496 4c54ff 9f5e9d 594c ce9f
ff0000 101010 4c54ff 108080 6a4c c010
ff0000 ebebeb 4c54ff eb8080 6a4c c0eb
ff0000 ff0080 4c54ff 972ac9 3f4c e497
ff0000 0080ff 4c54ff a46b0a 604c 85a4
ff0000 80ff00 4c54ff 43e9ab 9f4c d543
0000ff 000000 952b15 008080 5695 4b00
0000ff ffffff 952b15 ff8080 5695 4bff
0000ff ff0000 952b15 4c54ff 4095 8a4c
