// mode = 2 (709L)
// 208 pixel pairs
// rgb0 rgb1 ycc0 ycc1 out0 out1
000000 000000 108080 108080 8010 8010
000000 ffffff 108080 eb7f80 8010 80eb
000000 ff0000 108080 3e66ef 7310 b83e
000000 0000ff 108080 ac291a 5510 4dac
000000 00ff00 108080 1fef75 b810 7b1f
000000 808080 108080 7d7f80 8010 807d
000000 c86496 108080 966497 7210 8c96
000000 101010 108080 1d7f80 8010 801d
000000 ebebeb 108080 d97f80 8010 80d9
000000 ff0080 108080 8d3abc 5d10 9e8d
000000 0080ff 108080 b46115 7110 4bb4
000000 80ff00 108080 37e3ad b210 9737
ffffff 000000 eb7f80 108080 80eb 8010
ffffff ffffff eb7f80 eb7f80 7feb 80eb
ffffff ff0000 eb7f80 3e66ef 73eb b83e
ffffff 0000ff eb7f80 ac291a 54eb 4dac
ffffff 00ff00 eb7f80 1fef75 b7eb 7b1f
ffffff 808080 eb7f80 7d7f80 7feb 807d
ffffff c86496 eb7f80 966497 72eb 8c96
ffffff 101010 eb7f80 1d7f80 7feb 801d
ffffff ebebeb eb7f80 d97f80 7feb 80d9
ffffff ff0080 eb7f80 8d3abc 5deb 9e8d
ffffff 0080ff eb7f80 b46115 70eb 4bb4
ffffff 80ff00 eb7f80 37e3ad b1eb 9737
ff0000 000000 3e66ef 108080 733e b810
ff0000 ffffff 3e66ef eb7f80 733e b8eb
ff0000 ff0000 3e66ef 3e66ef 663e ef3e
ff0000 0000ff 3e66ef ac291a 483e 85ac
ff0000 00ff00 3e66ef 1fef75 ab3e b21f
ff0000 808080 3e66ef 7d7f80 733e b87d
ff0000 c86496 3e66ef 966497 653e c396
ff0000 101010 3e66ef 1d7f80 733e b81d
ff0000 ebebeb 3e66ef d97f80 733e b8d9
ff0000 ff0080 3e66ef 8d3abc 503e d68d
ff0000 0080ff 3e66ef b46115 643e 82b4
ff0000 80ff00 3e66ef 37e3ad a53e ce37
0000ff 000000 ac291a 108080 55ac 4d10
0000ff ffffff ac291a eb7f80 54ac 4deb
0000ff ff0000 ac291a 3e66ef 48ac 853e
0000ff 0000ff ac291a ac291a 29ac 1aac
0000ff 00ff00 ac291a 1fef75 8cac 481f
0000ff 808080 ac291a 7d7f80 54ac 4d7d
0000ff c86496 ac291a 966497 47ac 5996
0000ff 101010 ac291a 1d7f80 54ac 4d1d
0000ff ebebeb ac291a d97f80 54ac 4dd9
0000ff ff0080 ac291a 8d3abc 32ac 6b8d
0000ff 0080ff ac291a b46115 45ac 18b4
0000ff 80ff00 ac291a 37e3ad 86ac 6437
00ff00 000000 1fef75 108080 b81f 7b10
00ff00 ffffff 1fef75 eb7f80 b71f 7beb
00ff00 ff0000 1fef75 3e66ef ab1f b23e
00ff00 0000ff 1fef75 ac291a 8c1f 48ac
00ff00 00ff00 1fef75 1fef75 ef1f 751f
00ff00 808080 1fef75 7d7f80 b71f 7b7d
00ff00 c86496 1fef75 966497 aa1f 8696
00ff00 101010 1fef75 1d7f80 b71f 7b1d
00ff00 ebebeb 1fef75 d97f80 b71f 7bd9
00ff00 ff0080 1fef75 8d3abc 951f 998d
00ff00 0080ff 1fef75 b46115 a81f 45b4
00ff00 80ff00 1fef75 37e3ad e91f 9137
808080 000000 7d7f80 108080 807d 8010
808080 ffffff 7d7f80 eb7f80 7f7d 80eb
808080 ff0000 7d7f80 3e66ef 737d b83e
808080 0000ff 7d7f80 ac291a 547d 4dac
808080 00ff00 7d7f80 1fef75 b77d 7b1f
808080 808080 7d7f80 7d7f80 7f7d 807d
808080 c86496 7d7f80 966497 727d 8c96
808080 101010 7d7f80 1d7f80 7f7d 801d
808080 ebebeb 7d7f80 d97f80 7f7d 80d9
808080 ff0080 7d7f80 8d3abc 5d7d 9e8d
808080 0080ff 7d7f80 b46115 707d 4bb4
808080 80ff00 7d7f80 37e3ad b17d 9737
c86496 000000 966497 108080 7296 8c10
c86496 ffffff 966497 eb7f80 7296 8ceb
c86496 ff0000 966497 3e66ef 6596 c33e
c86496 0000ff 966497 ac291a 4796 59ac
c86496 00ff00 966497 1fef75 aa96 861f
c86496 808080 966497 7d7f80 7296 8c7d
c86496 c86496 966497 966497 6496 9796
c86496 101010 966497 1d7f80 7296 8c1d
c86496 ebebeb 966497 d97f80 7296 8cd9
