// alpha_q15 = 0x8000
// 420 vectors
// prev curr expected
000000 000000 000000
000000 ffffff ffffff
000000 ff0000 ff0000
000000 0000ff 0000ff
000000 00ff00 00ff00
000000 808080 808080
000000 404040 404040
000000 c0c0c0 c0c0c0
000000 64c832 64c832
000000 ff0064 ff0064
ffffff 000000 000000
ffffff ffffff ffffff
ffffff ff0000 ff0000
ffffff 0000ff 0000ff
ffffff 00ff00 00ff00
ffffff 808080 808080
ffffff 404040 404040
ffffff c0c0c0 c0c0c0
ffffff 64c832 64c832
ffffff ff0064 ff0064
ff0000 000000 000000
ff0000 ffffff ffffff
ff0000 ff0000 ff0000
ff0000 0000ff 0000ff
ff0000 00ff00 00ff00
ff0000 808080 808080
ff0000 404040 404040
ff0000 c0c0c0 c0c0c0
ff0000 64c832 64c832
ff0000 ff0064 ff0064
0000ff 000000 000000
0000ff ffffff ffffff
0000ff ff0000 ff0000
0000ff 0000ff 0000ff
0000ff 00ff00 00ff00
0000ff 808080 808080
0000ff 404040 404040
0000ff c0c0c0 c0c0c0
0000ff 64c832 64c832
0000ff ff0064 ff0064
00ff00 000000 000000
00ff00 ffffff ffffff
00ff00 ff0000 ff0000
00ff00 0000ff 0000ff
00ff00 00ff00 00ff00
00ff00 808080 808080
00ff00 404040 404040
00ff00 c0c0c0 c0c0c0
00ff00 64c832 64c832
00ff00 ff0064 ff0064
808080 000000 000000
808080 ffffff ffffff
808080 ff0000 ff0000
808080 0000ff 0000ff
808080 00ff00 00ff00
808080 808080 808080
808080 404040 404040
808080 c0c0c0 c0c0c0
808080 64c832 64c832
808080 ff0064 ff0064
404040 000000 000000
404040 ffffff ffffff
404040 ff0000 ff0000
404040 0000ff 0000ff
404040 00ff00 00ff00
404040 808080 808080
404040 404040 404040
404040 c0c0c0 c0c0c0
404040 64c832 64c832
404040 ff0064 ff0064
c0c0c0 000000 000000
c0c0c0 ffffff ffffff
c0c0c0 ff0000 ff0000
c0c0c0 0000ff 0000ff
c0c0c0 00ff00 00ff00
c0c0c0 808080 808080
c0c0c0 404040 404040
c0c0c0 c0c0c0 c0c0c0
c0c0c0 64c832 64c832
c0c0c0 ff0064 ff0064
64c832 000000 000000
64c832 ffffff ffffff
64c832 ff0000 ff0000
64c832 0000ff 0000ff
64c832 00ff00 00ff00
64c832 808080 808080
64c832 404040 404040
64c832 c0c0c0 c0c0c0
64c832 64c832 64c832
64c832 ff0064 ff0064
ff0064 000000 000000
ff0064 ffffff ffffff
ff0064 ff0000 ff0000
ff0064 0000ff 0000ff
ff0064 00ff00 00ff00
ff0064 808080 808080
ff0064 404040 404040
ff0064 c0c0c0 c0c0c0
ff0064 64c832 64c832
ff0064 ff0064 ff0064
000000 ff0080 ff0080
040404 fb0280 fb0280
080808 f70480 f70480
0c0c0c f30680 f30680
101010 ef0880 ef0880
141414 eb0a80 eb0a80
181818 e70c80 e70c80
1c1c1c e30e80 e30e80
202020 df1080 df1080
242424 db1280 db1280
282828 d71480 d71480
2c2c2c d31680 d31680
303030 cf1880 cf1880
343434 cb1a80 cb1a80
383838 c71c80 c71c80
3c3c3c c31e80 c31e80
404040 bf2080 bf2080
444444 bb2280 bb2280
484848 b72480 b72480
4c4c4c b32680 b32680
505050 af2880 af2880
545454 ab2a80 ab2a80
585858 a72c80 a72c80
5c5c5c a32e80 a32e80
606060 9f3080 9f3080
646464 9b3280 9b3280
686868 973480 973480
6c6c6c 933680 933680
707070 8f3880 8f3880
747474 8b3a80 8b3a80
787878 873c80 873c80
7c7c7c 833e80 833e80
808080 7f4080 7f4080
848484 7b4280 7b4280
888888 774480 774480
8c8c8c 734680 734680
909090 6f4880 6f4880
949494 6b4a80 6b4a80
989898 674c80 674c80
9c9c9c 634e80 634e80
a0a0a0 5f5080 5f5080
a4a4a4 5b5280 5b5280
a8a8a8 575480 575480
acacac 535680 535680
b0b0b0 4f5880 4f5880
b4b4b4 4b5a80 4b5a80
b8b8b8 475c80 475c80
bcbcbc 435e80 435e80
c0c0c0 3f6080 3f6080
c4c4c4 3b6280 3b6280
c8c8c8 376480 376480
cccccc 336680 336680
d0d0d0 2f6880 2f6880
d4d4d4 2b6a80 2b6a80
d8d8d8 276c80 276c80
dcdcdc 236e80 236e80
e0e0e0 1f7080 1f7080
e4e4e4 1b7280 1b7280
e8e8e8 177480 177480
ececec 137680 137680
f0f0f0 0f7880 0f7880
f4f4f4 0b7a80 0b7a80
f8f8f8 077c80 077c80
fcfcfc 037e80 037e80
16472f 9539bb 9539bb
c8fbe9 a2cf95 a2cf95
ad51df 01b556 01b556
5b4e02 cd0b0a cd0b0a
090f75 caec9b caec9b
a2ffd5 da7c1e da7c1e
90a5c9 a4c0dc a4c0dc
ccee31 b98c0d b98c0d
1172eb 098a60 098a60
f52961 95e4da 95e4da
124988 599ddf 599ddf
0d77f9 aa2ca0 aa2ca0
7c5a6a 8453b1 8453b1
3ac377 6cec12 6cec12
dec0e7 9f3110 9f3110
ffbb3f c6060a c6060a
5ecc2d 739a62 739a62
beeb01 010691 010691
0f7544 d0bb9f d0bb9f
4c36d3 84ce3b 84ce3b
9cbb9e 52d575 52d575
767042 18dbb2 18dbb2
8644ad 4c240e 4c240e
e65987 076a81 076a81
90c5b4 3c60bf 3c60bf
afa6e8 091a0b 091a0b
c4d90b 219455 219455
5d2b9d 1e7862 1e7862
5c3400 43054e 43054e
5efa52 e967dd e967dd
f6feea 185072 185072
581421 c2db4b c2db4b
2db982 9d6bba 9d6bba
c55484 6cf6f0 6cf6f0
1a1e90 b88002 b88002
129d97 3a68c5 3a68c5
bc2905 5394c1 5394c1
6fffe5 95acc0 95acc0
666a91 038257 038257
272990 c84b1c c84b1c
08642e 03ee13 03ee13
e2ca6c 6e6f6e 6e6f6e
6ab6e0 6bbb39 6bbb39
43710a 4b08e0 4b08e0
621059 109256 109256
852e3e a2f292 a2f292
63b7fc 147f00 147f00
69e545 f55819 f55819
f39c7a 355e53 355e53
0102f1 381c67 381c67
1c2c69 7340f5 7340f5
707f71 cc15e1 cc15e1
d6304d 585d7e 585d7e
6ef70f 493c6e 493c6e
b4249d 6a0e58 6a0e58
04bc5f 691e7a 691e7a
db1789 ee5ae8 ee5ae8
fe6e08 6fbd98 6fbd98
f20ca3 6b5b2a 6b5b2a
e4f0fe 05b91a 05b91a
73f53a c39486 c39486
91634f 49f8b5 49f8b5
ddb5e0 d5791a d5791a
1d9ce5 a0cdb0 a0cdb0
f7239e 98574f 98574f
94a2fa 18b8bf 18b8bf
ee8598 ee85c2 ee85c2
6fc88b b1d16c b1d16c
445484 7acd3a 7acd3a
404d19 66b0e4 66b0e4
d25ec4 0b3696 0b3696
4386d8 7b5355 7b5355
e499c3 a454af a454af
1fb6fa 762156 762156
508954 0b0619 0b0619
92f033 cd09d8 cd09d8
b2a9da 872e6a 872e6a
85dab2 f14b78 f14b78
b7be77 c86f4e c86f4e
c06ef9 37cac6 37cac6
bc9fa4 fb68a2 fb68a2
88f27d ac262f ac262f
46c36a 9f8cea 9f8cea
f5b9e7 310209 310209
656809 d01c72 d01c72
57f70e 39b987 39b987
df5044 d4e0df d4e0df
f3756f 75ff51 75ff51
35c7f6 65bdb5 65bdb5
0e9624 452d22 452d22
47f73b f18c9d f18c9d
faf9d2 a8db5d a8db5d
702ed9 e52eb7 e52eb7
10a349 86ba0e 86ba0e
034dc5 2d6fcd 2d6fcd
ed5a19 d3ca84 d3ca84
4fafd3 f24c67 f24c67
897cef 12d22b 12d22b
81f3b4 683fbe 683fbe
5b52b6 da7673 da7673
8a94cd 417de5 417de5
cca797 d81817 d81817
93ac05 618704 618704
683e2d 5e7b85 5e7b85
18c141 60b81f 60b81f
b204d4 083663 083663
93e0c0 6724d1 6724d1
04ab56 cf4ba6 cf4ba6
f067f6 ec197e ec197e
da3258 ea50d4 ea50d4
cf6491 46d81b 46d81b
11d587 53a275 53a275
cfc74e 9e95e0 9e95e0
e9aa53 f1e1fd f1e1fd
7b0de4 16b33a 16b33a
e2139b e793ed e793ed
33bfe6 5b67a9 5b67a9
4793b6 67f589 67f589
c5b126 747fe0 747fe0
8e6fe9 f3405d f3405d
8302d1 d11642 d11642
b4bd80 1ce458 1ce458
83a7ff 5feee4 5feee4
d23e98 9eabfa 9eabfa
1022eb 234575 234575
5d8a49 1d0ad7 1d0ad7
d4aa3b 7641a2 7641a2
1412cd 6d02c3 6d02c3
9c8c55 d33b7f d33b7f
ebfe2c 484be2 484be2
a091af 516fd9 516fd9
2e0a16 528192 528192
a5f0d1 f0f5fa f0f5fa
35753c a35cb3 a35cb3
60302f 71358a 71358a
f4476e c0e410 c0e410
48e05e f8ee2d f8ee2d
243734 b5e9c8 b5e9c8
0cce74 3b9b37 3b9b37
9e9801 231340 231340
8a3cc1 29a602 29a602
293e70 7633d8 7633d8
9e5ae8 923d24 923d24
3fabed fe3160 fe3160
304a21 7baa7b 7baa7b
ceeb51 0c6628 0c6628
83dd78 73bd90 73bd90
e0fa9a 0ede01 0ede01
e1e21c 9617ea 9617ea
c60e2c 16a200 16a200
2e3461 5027f7 5027f7
9b30e8 d35c8a d35c8a
c2036f 2367ac 2367ac
788d6c 49122b 49122b
9b54c8 6ccb9e 6ccb9e
2c30f0 376821 376821
f07d2b be4085 be4085
509ef6 0ee0f0 0ee0f0
7a7d39 8197df 8197df
8001c7 4be970 4be970
b349b4 5cd0bc 5cd0bc
b17bc4 2411f2 2411f2
11673f 0f0adc 0f0adc
36b1ee e06905 e06905
cbfeba ca779c ca779c
3220c7 3aca76 3aca76
b0205c 8bca6c 8bca6c
b899a7 0bc0f8 0bc0f8
446d6a b73316 b73316
ab40f8 fb8d77 fb8d77
cb1c64 315bc7 315bc7
791e13 2ab02b 2ab02b
31a6d4 3f9e09 3f9e09
08c643 8c8d66 8c8d66
80586c 805231 805231
a774da 489980 489980
52572c 491c00 491c00
03b378 8566e7 8566e7
fe4c73 ebc160 ebc160
1d055e c1f831 c1f831
8cabaa 0e7911 0e7911
e1dea6 f3dc9e f3dc9e
f4ab6a 979356 979356
8afc67 a2f87b a2f87b
7b1a7e 3cb474 3cb474
f97a2c 5ac787 5ac787
b44c76 005ce4 005ce4
d2bd2e 610189 610189
d54158 b52ce2 b52ce2
0715c0 ae571e ae571e
dfbf21 f402d0 f402d0
feaff6 e95005 e95005
7f5f0b 976892 976892
92b12b 98b720 98b720
1c4518 14e4c9 14e4c9
20d020 1d531c 1d531c
156704 15ee4d 15ee4d
2ef67e 8884b9 8884b9
127519 6584bf 6584bf
521c23 dc0560 dc0560
3b5fa4 0f7bd3 0f7bd3
7d9513 fe2be2 fe2be2
493b3e 0cfbaf 0cfbaf
dd52ef 2569c5 2569c5
3f06af ea2a04 ea2a04
8217f2 68a0ff 68a0ff
fb8174 41c328 41c328
f53d66 2b7bc4 2b7bc4
5dcd0b 7a6cd5 7a6cd5
98ce58 7002b0 7002b0
41b727 7de320 7de320
938922 de478d de478d
860fde 7e93f5 7e93f5
e7cea5 0b8267 0b8267
461921 4ded09 4ded09
490856 7f7a25 7f7a25
9b9a99 6e0def 6e0def
0c6ec7 aa6ab2 aa6ab2
0eac00 fdcb2c fdcb2c
8900a8 3335c4 3335c4
40a889 5a19af 5a19af
f56845 977076 977076
bc61e1 90e0c9 90e0c9
5cbea8 641149 641149
b40027 65d86f 65d86f
e3b3d7 9c6a5e 9c6a5e
bbdc1b ee7707 ee7707
e2deb1 b6d817 b6d817
66cb8d ee8ad5 ee8ad5
e476b8 220b1f 220b1f
7e0b67 4bc888 4bc888
aacb10 cdcdf6 cdcdf6
7970da 1f40cf 1f40cf
74eb82 f55e68 f55e68
249e87 583445 583445
e07fa5 075910 075910
a35b93 7a0c7a 7a0c7a
b470b0 1b73c7 1b73c7
f5fca1 0e1714 0e1714
24bc57 7e0f34 7e0f34
f63c21 b99e62 b99e62
9df477 c9aea6 c9aea6
2afe41 de1a23 de1a23
a777df 92962e 92962e
5ec24f 592206 592206
86a701 39ca46 39ca46
b48578 9000c6 9000c6
f8cc2d ac8137 ac8137
b28c9c 691bec 691bec
33ef1f 97ca70 97ca70
8f7134 14b3bc 14b3bc
db4107 2b2059 2b2059
7d6bf2 11a3f1 11a3f1
b7e2e0 9e0443 9e0443
1e399e 98ce6c 98ce6c
8c1d0f b165a9 b165a9
